id arrival begin end wait queue duration order
176 24490 24490 24493 0 0 3 0
59 8105 8105 8121 0 0 16 1
47 13757 13757 13776 0 0 19 2
160 8551 8551 8570 0 0 19 3
282 39837 39837 39857 0 0 20 4
17 13847 13847 13876 0 0 29 5
34 6642 6642 6674 0 0 32 6
64 24795 24795 24828 0 0 33 7
53 37748 37748 37783 0 0 35 8
25 4444 4457 4480 13 1 23 9
268 19824 19824 19860 0 0 36 10
345 36793 36793 36833 0 0 40 11
328 19809 19809 19850 0 0 41 12
311 2849 2849 2895 0 0 46 13
285 38013 38013 38062 0 0 49 14
277 8673 8673 8725 0 0 52 15
302 38729 38729 38782 0 0 53 16
293 32526 32526 32580 0 0 54 17
60 38366 38366 38422 0 0 56 18
48 21534 21534 21592 0 0 58 19
153 24347 24347 24409 0 0 62 20
69 28095 28095 28158 0 0 63 21
343 36270 36270 36334 0 0 64 22
337 25 25 102 0 0 77 23
45 24701 24714 24782 13 1 68 24
118 40717 40717 40801 0 0 84 25
333 23194 23235 23283 41 2 48 26
108 27428 27433 27518 5 1 85 27
349 21486 21486 21576 0 0 90 28
66 41811 41811 41908 0 0 97 29
88 26567 26567 26666 0 0 99 30
117 37826 37826 37926 0 0 100 31
217 6455 6455 6556 0 0 101 32
304 29142 29142 29245 0 0 103 33
297 27617 27617 27726 0 0 109 34
144 42367 42367 42477 0 0 110 35
151 3733 3774 3844 41 2 70 36
216 9022 9022 9135 0 0 113 37
317 1844 1844 1957 0 0 113 38
290 3630 3668 3750 38 2 82 39
31 2403 2403 2524 0 0 121 40
13 26441 26441 26563 0 0 122 41
112 21239 21348 21363 109 1 15 42
334 3143 3253 3270 110 2 17 43
175 10169 10169 10300 0 0 131 44
254 7565 7565 7706 0 0 141 45
245 37677 37677 37823 0 0 146 46
154 1048 1048 1195 0 0 147 47
65 4971 4971 5119 0 0 148 48
200 10232 10232 10380 0 0 148 49
50 25449 25449 25598 0 0 149 50
132 36038 36038 36189 0 0 151 51
209 22066 22066 22219 0 0 153 52
32 16750 16840 16904 90 1 64 53
40 9021 9021 9178 0 0 157 54
91 29456 29456 29616 0 0 160 55
232 31254 31257 31415 3 1 158 56
218 1317 1317 1480 0 0 163 57
94 31543 31543 31711 0 0 168 58
143 21968 21968 22139 0 0 171 59
146 11003 11075 11174 72 1 99 60
259 23062 23219 23235 157 2 16 61
185 2133 2133 2313 0 0 180 62
