id arrival begin end wait queue duration serviceTime order
648 81 171 194 90 1 23 113 0
448 42 42 171 0 0 129 129 1
729 15 15 210 0 0 195 195 2
1191 39 39 250 0 0 211 211 3
3455 9 9 235 0 0 226 226 4
2531 91 210 382 119 1 172 291 5
2850 100 382 446 282 2 64 346 6
2862 98 250 491 152 1 241 393 7
1562 132 491 533 359 2 42 401 8
337 25 25 534 0 0 509 509 9
926 75 75 600 0 0 525 525 10
2001 167 663 717 496 3 54 550 11
1696 91 194 663 103 2 469 572 12
1294 94 235 723 141 1 488 629 13
860 128 446 808 318 3 362 680 14
3035 174 723 1036 549 2 313 862 15
2184 174 717 1043 543 3 326 869 16
928 144 534 1066 390 1 532 922 17
1205 204 1043 1128 839 3 85 924 18
2467 181 808 1134 627 4 326 953 19
683 133 533 1091 400 3 558 958 20
2913 241 1128 1203 887 4 75 962 21
3070 241 1134 1228 893 4 94 987 22
1659 166 600 1188 434 1 588 1022 23
2852 268 1228 1327 960 5 99 1059 24
2789 184 1036 1289 852 3 253 1105 25
856 236 1066 1367 830 2 301 1131 26
3341 253 1188 1445 935 2 257 1192 27
814 280 1367 1477 1087 3 110 1197 28
2142 263 1203 1505 940 5 302 1242 29
2347 322 1514 1588 1192 4 74 1266 30
1056 237 1091 1514 854 4 423 1277 31
1143 272 1289 1617 1017 3 328 1345 32
882 303 1477 1679 1174 4 202 1376 33
1431 303 1505 1734 1202 6 229 1431 34
2935 452 1920 1954 1468 5 34 1502 35
2417 405 1837 1920 1432 4 83 1515 36
1012 473 1944 2013 1471 6 69 1540 37
2506 293 1445 1837 1152 3 392 1544 38
1613 388 1679 1944 1291 5 265 1556 39
1531 279 1327 1851 1048 6 524 1572 40
1702 390 1734 1968 1344 7 234 1578 41
939 524 2080 2111 1556 5 31 1587 42
1852 578 2158 2183 1580 9 25 1605 43
990 553 2102 2196 1549 4 94 1643 44
1210 489 1968 2158 1479 8 190 1669 45
1523 363 1617 2080 1254 4 463 1717 46
76 586 2183 2323 1597 10 140 1737 47
3526 495 2013 2238 1518 7 225 1743 48
1319 330 1588 2102 1258 5 514 1772 49
2483 566 2111 2380 1545 6 269 1814 50
2412 594 2323 2432 1729 11 109 1838 51
2491 645 2432 2515 1787 12 83 1870 52
210 587 2196 2468 1609 5 272 1881 53
114 627 2380 2529 1753 7 149 1902 54
2508 695 2591 2600 1896 9 9 1905 55
3469 684 2529 2591 1845 8 62 1907 56
1201 636 2429 2560 1793 6 131 1924 57
1372 475 1954 2429 1479 6 475 1954 58
2545 433 1851 2397 1418 6 546 1964 59
2651 731 2611 2707 1880 8 96 1976 60
159 732 2665 2712 1933 7 47 1980 61
1422 763 2748 2776 1985 12 28 2013 62
556 648 2468 2665 1820 6 197 2017 63
2169 591 2238 2611 1647 7 373 2020 64
102 669 2515 2748 1846 12 233 2079 65
486 775 2776 2875 2001 13 99 2100 66
384 716 2600 2866 1884 10 266 2150 67
785 628 2397 2820 1769 6 423 2192 68
3536 685 2560 2892 1875 7 332 2207 69
2550 778 2820 2993 2042 7 173 2215 70
1872 794 2875 3155 2081 14 280 2361 71
1080 867 3288 3324 2421 9 36 2457 72
2954 783 2866 3279 2083 10 413 2496 73
1957 736 2707 3242 1971 9 535 2506 74
1992 756 2712 3288 1956 8 576 2532 75
3086 890 3457 3462 2567 9 5 2572 76
3218 835 2993 3471 2158 7 478 2636 77
457 817 2892 3457 2075 8 565 2640 78
2762 836 3155 3617 2319 15 462 2781 79
760 857 3242 3675 2385 10 433 2818 80
958 884 3324 3729 2440 10 405 2845 81
2310 864 3279 3765 2415 11 486 2901 82
2501 926 3471 3834 2545 8 363 2908 83
240 983 3729 3954 2746 11 225 2971 84
2259 996 3834 3975 2838 9 141 2979 85
1975 1009 3975 4020 2966 10 45 3011 86
406 1000 3954 4012 2954 12 58 3012 87
2392 1047 4079 4114 3032 12 35 3067 88
610 907 3462 4001 2555 10 539 3094 89
1905 984 3765 4079 2781 12 314 3095 90
154 1048 4114 4261 3066 13 147 3213 91
701 1011 4001 4237 2990 11 236 3226 92
1295 950 3617 4212 2667 16 595 3262 93
1541 956 3675 4252 2719 11 577 3296 94
601 1107 4261 4451 3154 14 190 3344 95
1001 1066 4237 4468 3171 12 231 3402 96
848 1063 4212 4509 3149 16 297 3446 97
780 1038 4020 4532 2982 11 512 3494 98
758 1135 4532 4634 3397 11 102 3499 99
740 1028 4012 4566 2984 13 554 3538 100
2076 1094 4252 4741 3158 11 489 3647 101
792 1156 4634 4995 3478 12 361 3839 102
2447 1117 4451 4962 3334 15 511 3845 103
3431 1122 4509 4968 3387 17 459 3846 104
1800 1119 4468 5004 3349 13 536 3885 105
2563 1191 4968 5157 3777 17 189 3966 106
1146 1139 4566 5165 3427 13 599 4026 107
239 1160 4741 5196 3581 12 455 4036 108
742 1201 5157 5240 3956 18 83 4039 109
562 1206 5165 5299 3959 14 134 4093 110
1243 1194 4995 5342 3801 13 347 4148 111
1088 1218 5196 5382 3978 13 186 4164 112
3346 1218 5240 5389 4022 18 149 4171 113
2493 1247 5389 5443 4142 19 54 4196 114
3413 1168 4962 5427 3794 16 465 4259 115
1215 1198 5004 5487 3806 13 483 4289 116
1941 1241 5382 5556 4141 14 174 4315 117
375 1292 5487 5618 4195 14 131 4326 118
1719 1226 5299 5644 4073 15 345 4418 119
3061 1296 5556 5721 4260 15 165 4425 120
2482 1356 5937 5977 4581 17 40 4621 121
381 1263 5443 5893 4180 20 450 4630 122
218 1317 5618 5949 4301 15 331 4632 123
1446 1227 5342 5874 4115 14 532 4647 124
